dummy index,Johnson Controls Name,BACnet Name,BACnet Description,BACnet Unit,Ground Truth Point Type,Point Ref,Location,Equipment Type,Equipment Ref,Equipment Subsystems,Building,Comments,BACnet Type Str
1544,EBU3B.RM-2240..ACTCLGSP,NAE 06 N2 1 VMA105 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2240,VAV,105,VAV -> Rm_2240,EBU3B,,Analog Input
1560,EBU3B.RM-2244..ACTCLGSP,NAE 06 N2 1 VMA119 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2244,VAV,119,VAV -> Rm_2244,EBU3B,,Analog Input
1576,EBU3B.RM-2250..ACTCLGSP,NAE 06 N2 1 VMA121 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2250,VAV,121,VAV -> Rm_2250,EBU3B,,Analog Input
1592,EBU3B.RM-2256..ACTCLGSP,NAE 06 N2 1 VMA122 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2256,VAV,122,VAV -> Rm_2256,EBU3B,,Analog Input
1609,EBU3B.RM-2258.ACTCLGSP,NAE 06 N2 1 VMA185 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2258,VAV,185,VAV -> Rm_2258,EBU3B,,Analog Output
1624,EBU3B.RM-2262..ACTCLGSP,NAE 06 N2 1 VMA124 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2262,VAV,124,VAV -> Rm_2262,EBU3B,,Analog Input
1640,EBU3B.RM-2266..ACTCLGSP,NAE 06 N2 1 VMA125 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2266,VAV,125,VAV -> Rm_2266,EBU3B,,Analog Input
1656,EBU3B.RM-2270..ACTCLGSP,NAE 06 N2 1 VMA126 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2270,VAV,126,VAV -> Rm_2270,EBU3B,,Analog Input
1672,EBU3B.RM-2272..ACTCLGSP,NAE 06 N2 1 VMA127 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2272,VAV,127,VAV -> Rm_2272,EBU3B,,Analog Input
1696,EBU3B.RM-3102..ACTCLGSP,NAE 06 N2 2 VMA117 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_3102,VAV,117,VAV -> Rm_3102,EBU3B,,Analog Input
1712,EBU3B.RM-3105..ACTCLGSP,NAE 06 N2 2 VMA119 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_3105,VAV,119,VAV -> Rm_3105,EBU3B,,Analog Input
1728,EBU3B.RM-3106..ACTCLGSP,NAE 06 N2 2 VMA116 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_3106,VAV,116,VAV -> Rm_3106,EBU3B,,Analog Input
1744,EBU3B.RM-3107..ACTCLGSP,NAE 06 N2 2 VMA118 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_3107,VAV,118,VAV -> Rm_3107,EBU3B,,Analog Input
1760,EBU3B.RM-3109..ACTCLGSP,NAE 06 N2 2 VMA128 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_3109,VAV,128,VAV -> Rm_3109,EBU3B,,Analog Input
1776,EBU3B.RM-3110..ACTCLGSP,NAE 06 N2 2 VMA115 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_3110,VAV,115,VAV -> Rm_3110,EBU3B,,Analog Input
1792,EBU3B.RM-3111..ACTCLGSP,NAE 06 N2 2 VMA113 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_3111,VAV,113,VAV -> Rm_3111,EBU3B,,Analog Input
1808,EBU3B.RM-3114..ACTCLGSP,NAE 06 N2 2 VMA114 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_3114,VAV,114,VAV -> Rm_3114,EBU3B,,Analog Input
